#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	print
#open	2024-03-31-15-46-55
#fields	ts	vals
#types	time	vector[string]
0.000000	Zeek started
1427726702.936342	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 1
1427726702.936342	PRAMOD HEMBROM CS23MTECH11015
1427726708.601080	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 2
1427726708.601080	PRAMOD HEMBROM CS23MTECH11015
1427726713.139576	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 3
1427726713.139576	PRAMOD HEMBROM CS23MTECH11015
1427726718.964749	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 4
1427726718.964749	PRAMOD HEMBROM CS23MTECH11015
1427726724.379736	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 5
1427726724.379736	PRAMOD HEMBROM CS23MTECH11015
1427726735.521725	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 6
1427726735.521725	PRAMOD HEMBROM CS23MTECH11015
1427726741.153682	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 7
1427726741.153682	PRAMOD HEMBROM CS23MTECH11015
1427726746.007557	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 8
1427726746.007557	PRAMOD HEMBROM CS23MTECH11015
1427726754.220665	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 9
1427726754.220665	PRAMOD HEMBROM CS23MTECH11015
1427726759.303199	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 10
1427726759.303199	PRAMOD HEMBROM CS23MTECH11015
1427726759.306612	Source IP: 192.168.56.1\x2c Destination IP: 192.168.56.103 and attempts 11
1427726759.306612	PRAMOD HEMBROM CS23MTECH11015
1427726759.306612	Zeek stopped
#close	2024-03-31-15-46-55
